area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Ashwathnagar,2 BHK,Ashwathnagar,1100,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Uttarahalli,1330,2.0,2.0,39.9
Super built-up  Area,20-Nov,RR Layout,3 BHK,RR Layout,1700,3.0,2.0,111.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Electronic City,1355,2.0,1.0,67.0
Super built-up  Area,18-Nov,Ramamurthy Nagar,2 BHK,Ramamurthy Nagar,1200,2.0,1.0,46.0
Super built-up  Area,Ready To Move,Kengeri,1 BHK,Kengeri,400,2.0,1.0,25.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Sarjapur  Road,1342,2.0,0.0,70.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Begur Road,1615,3.0,2.0,50.87
Super built-up  Area,Ready To Move,Vinayaka Nagar,2 BHK,Vinayaka Nagar,1340,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Jakkuru Layout,1200,2.0,1.0,54.0
Built-up  Area,Ready To Move,Yeshwanthpur,1 Bedroom,Yeshwanthpur,400,1.0,0.0,55.0
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Devanahalli,1080,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Gollahalli,2 BHK,Gollahalli,1600,2.0,1.0,31.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,1200,2.0,0.0,34.0
Plot  Area,17-Apr,Hennur Road,3 Bedroom,Hennur Road,2700,3.0,2.0,150.0
Built-up  Area,Ready To Move,Billapura,3 Bedroom,Billapura,1780,3.0,0.0,110.0
Built-up  Area,Ready To Move,Amruthahalli,3 BHK,Amruthahalli,1605,3.0,2.0,65.0
Super built-up  Area,17-Sep,Ulsoor,4 BHK,Ulsoor,7200,5.0,2.0,1584.0
Plot  Area,Ready To Move,Doddabommasandra,3 Bedroom,Doddabommasandra,646,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Kammanahalli,2 BHK,Kammanahalli,1200,2.0,2.0,80.0
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,Margondanahalli,900,2.0,0.0,49.0
Built-up  Area,19-Dec,Sarjapur,3 Bedroom,Sarjapur,1830,3.0,1.0,88.0
Plot  Area,Ready To Move,Vishwapriya Layout,5 Bedroom,Vishwapriya Layout,690,4.0,1.0,83.0
Built-up  Area,Ready To Move,Srirampuram,1 BHK,Srirampuram,650,1.0,3.0,500.0
Plot  Area,Ready To Move,MS Pallya,5 Bedroom,MS Pallya,1800,4.0,1.0,68.0
Built-up  Area,Ready To Move,Chandapura,3 BHK,Chandapura,715,2.0,0.0,32.0
Super built-up  Area,18-Sep,Chandapura,3 BHK,Chandapura,1230,2.0,2.0,31.37
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1065,2.0,1.0,42.59
Plot  Area,Ready To Move,2nd Phase JP Nagar,8 Bedroom,2nd Phase JP Nagar,1350,8.0,2.0,185.0
Plot  Area,Ready To Move,Srinagar,3 Bedroom,Srinagar,1080,3.0,2.0,149.0
Built-up  Area,Ready To Move,KHB Colony Extension,3 BHK,KHB Colony Extension,900,2.0,0.0,65.0
Super built-up  Area,Ready To Move,Devasthanagalu,2 BHK,Devasthanagalu,946,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Laggere,1 BHK,Laggere,1500,1.0,0.0,60.0
Super built-up  Area,18-May,Sarjapur  Road,3 BHK,Sarjapur  Road,1711,3.0,1.0,110.0
Plot  Area,Ready To Move,Attur Layout,4 Bedroom,Attur Layout,1200,3.0,2.0,160.0
Super built-up  Area,18-Aug,Chandapura,2 BHK,Chandapura,950,2.0,1.0,25.65
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Kudlu Gate,1656,3.0,2.0,80.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1075,2.0,1.0,46.76
Super built-up  Area,Ready To Move,Harlur,3 BHK,Harlur,1752.12,3.0,2.0,133.0
Plot  Area,Ready To Move,Hebbal,8 Bedroom,Hebbal,6000,8.0,0.0,220.0
Super built-up  Area,Ready To Move,Kaverappa Layout,3 BHK,Kaverappa Layout,1540,3.0,3.0,85.0
Plot  Area,Ready To Move,6th Phase JP Nagar,4 Bedroom,6th Phase JP Nagar,600,4.0,3.0,125.0
Super built-up  Area,Ready To Move,LB Shastri Nagar,1 BHK,LB Shastri Nagar,665,1.0,2.0,32.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,Sector 2 HSR Layout,1665,3.0,0.0,110.0
Super built-up  Area,18-Mar,Electronics City Phase 1,2 BHK,Electronics City Phase 1,1145,2.0,1.0,54.0
Super built-up  Area,18-Aug,Whitefield,2 BHK,Whitefield,1185,2.0,2.0,41.0
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,2nd Phase JP Nagar,1200,3.0,1.0,190.0
Built-up  Area,Ready To Move,Marathahalli,3 BHK,Marathahalli,1693,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Dollars Layout,3 BHK,Dollars Layout,2456,3.0,3.0,220.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Rajaji Nagar,2559,3.0,2.0,403.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1155,2.0,1.0,40.6
Super built-up  Area,17-Oct,Divya Unnathi Layout,3 BHK,Divya Unnathi Layout,1610,2.0,2.0,64.4
Plot  Area,18-Nov,Whitefield,3 Bedroom,Whitefield,1200,3.0,2.0,56.58
Plot  Area,Ready To Move,Anjana Nagar,2 Bedroom,Anjana Nagar,1530,2.0,1.0,185.0
Built-up  Area,Ready To Move,EPIP Zone,3 BHK,EPIP Zone,1709,3.0,1.0,80.0
Plot  Area,Ready To Move,Amruthahalli,4 Bedroom,Amruthahalli,600,4.0,0.0,60.0
Plot  Area,Ready To Move,Brookefield,8 Bedroom,Brookefield,2700,8.0,0.0,290.0
Plot  Area,Ready To Move,Subramanya Nagar,1 Bedroom,Subramanya Nagar,840,1.0,1.0,150.0
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Gottigere,1400,2.0,1.0,50.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,KR Puram,1200,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Janatha Colony,3 BHK,Janatha Colony,1439,3.0,1.0,57.23
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Kasavanhalli,1375,2.0,2.0,72.0
Plot  Area,Ready To Move,BTM 2nd Stage,5 Bedroom,BTM 2nd Stage,2990,5.0,3.0,416.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Vijayanagar,1200,2.0,1.0,75.0
Built-up  Area,Ready To Move,Yelahanka,2 BHK,Yelahanka,1315,2.0,3.0,75.0
Plot  Area,18-Mar,Dommasandra,2 Bedroom,Dommasandra,1500,2.0,0.0,40.0
Built-up  Area,Ready To Move,Yelahanka,6 Bedroom,Yelahanka,3600,6.0,1.0,200.0
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Vijayanagar,1178,2.0,3.0,82.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Bannerghatta Road,1430,3.0,2.0,59.0
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Mahadevpura,1400,2.0,2.0,65.8
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Thanisandra,1093,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Horamavu Banaswadi,1200,2.0,1.0,45.0
Plot  Area,Ready To Move,Magadi Road,5 Bedroom,Magadi Road,5000,6.0,1.0,360.0
Built-up  Area,15-Dec,1st Block Jayanagar,3 BHK,1st Block Jayanagar,1200,2.0,0.0,130.0
Built-up  Area,18-Apr,Whitefield,3 BHK,Whitefield,2210,3.0,2.0,156.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1150,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Silk Board,3 BHK,Silk Board,1435,2.0,1.0,60.0
Plot  Area,Ready To Move,Mathikere,4 Bedroom,Mathikere,600,3.0,0.0,100.0
Super built-up  Area,20-Dec,Whitefield,2 BHK,Whitefield,1173,2.0,1.0,78.2
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Thanisandra,1140,2.0,1.0,39.0
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Jakkur Plantation,1717,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,Mallasandra,1325,2.0,0.0,65.0
Built-up  Area,Ready To Move,Hoodi,3 BHK,Hoodi,1370,3.0,2.0,67.0
Super built-up  Area,21-Aug,Electronics City Phase 1,2 BHK,Electronics City Phase 1,1025,2.0,1.0,90.0
Super built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,Doddakammanahalli,1409,2.0,3.0,62.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Bellandur,1200,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Thanisandra,1200,2.0,1.0,53.5
Super built-up  Area,18-Feb,Whitefield,3 BHK,Whitefield,1740,4.0,3.0,130.0
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Hennur Road,1232,2.0,1.0,88.0
Plot  Area,18-Nov,Chandapura,2 Bedroom,Chandapura,1200,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Whitefield,5924,4.0,3.0,625.0
Super built-up  Area,Ready To Move,Veersandra,2 BHK,Veersandra,1250,2.0,1.0,50.0
Built-up  Area,Ready To Move,Munivenkatppa Layout,2 BHK,Munivenkatppa Layout,1475,2.0,2.0,171.0
Super built-up  Area,Ready To Move,Bommanahalli,4 BHK,Bommanahalli,2100,4.0,2.0,85.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,5th Phase JP Nagar,552,1.0,1.0,23.5
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Uttarahalli,1065,2.0,2.0,42.59
Plot  Area,17-Aug,Hennur,3 Bedroom,Hennur,1000,3.0,1.0,130.0
Plot  Area,Ready To Move,Lakshmipura,2 Bedroom,Lakshmipura,1225,2.0,0.0,65.0
Built-up  Area,Ready To Move,Harsha Layout,1 BHK,Harsha Layout,650,1.0,0.0,16.0
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Padmanabhanagar,1067,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Sarjapur,1364,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Tata Nagar,3 BHK,Tata Nagar,1750,3.0,3.0,75.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Bannerghatta Road,1240,2.0,1.0,71.0
Plot  Area,Ready To Move,Hulimavu,2 Bedroom,Hulimavu,1200,2.0,0.0,75.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Kaggadasapura,1540,3.0,0.0,75.0
Super built-up  Area,Ready To Move,Sathya Layout,3 BHK,Sathya Layout,1504,2.0,2.0,102.0
Super built-up  Area,Ready To Move,New Thippasandra,2 BHK,New Thippasandra,1116,2.0,1.0,49.8
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Hennur Road,2365,4.0,2.0,175.0
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,Sarjapura - Attibele Road,1308,2.0,2.0,37.0
Built-up  Area,Ready To Move,Vijayanagar,2 BHK,Vijayanagar,864,2.0,0.0,45.0
Plot  Area,Ready To Move,Vidyaranyapura,5 Bedroom,Vidyaranyapura,1200,5.0,1.0,139.0
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Hoskote,1069,2.0,0.0,38.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Hebbal,1333,2.0,1.0,100.0
Super built-up  Area,Ready To Move,Chennammana Kere,4 BHK,Chennammana Kere,1800,4.0,1.0,145.0
Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Devanahalli,6136,4.0,0.0,550.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Thanisandra,1698,3.0,2.0,107.0
Super built-up  Area,18-Jun,JP Nagar,3 BHK,JP Nagar,1275,2.0,2.0,43.6
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Raja Rajeshwari Nagar,1060,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Hennur,1160,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Sarjapur  Road,1484,2.0,0.0,65.0
Plot  Area,Ready To Move,Hosa Road,3 Bedroom,Hosa Road,675,3.0,1.0,70.0
Plot  Area,Ready To Move,BEML Layout,3 Bedroom,BEML Layout,1200,5.0,0.0,325.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Hennur Road,1310,2.0,1.0,66.0
Plot  Area,Ready To Move,Vijayanagar,6 Bedroom,Vijayanagar,1806,6.0,1.0,370.0
Super built-up  Area,Ready To Move,Shanti Nagar,4 BHK,Shanti Nagar,3000,4.0,0.0,240.0
Super built-up  Area,Ready To Move,Varthur,3 BHK,Varthur,2145,3.0,2.0,165.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Marathahalli,1693,3.0,1.0,125.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,Jigani,1230,3.0,3.0,60.0
Plot  Area,18-Jan,Devanahalli,3 Bedroom,Devanahalli,1200,3.0,1.0,145.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,3 BHK,Bommasandra Industrial Area,1310,2.0,1.0,37.83
Super built-up  Area,Ready To Move,Tigalarpalya,2 BHK,Tigalarpalya,1150,2.0,1.0,60.0
Super built-up  Area,18-Apr,Munnekollal,3 BHK,Munnekollal,1385,2.0,2.0,66.5
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Tumkur Road,1066,2.0,2.0,52.5
Super built-up  Area,19-Dec,Thanisandra,3 BHK,Thanisandra,2293,3.0,2.0,80.26
Plot  Area,Ready To Move,Tindlu,3 Bedroom,Tindlu,720,3.0,1.0,81.0
Carpet  Area,Ready To Move,2nd Block Bel Layout,3 BHK,2nd Block Bel Layout,1625,3.0,3.0,92.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Vittasandra,1246,2.0,1.0,67.4
Plot  Area,Ready To Move,Vijayanagar,4 Bedroom,Vijayanagar,2100,6.0,1.0,252.0
Super built-up  Area,Ready To Move,sarjapura main road,4 BHK,sarjapura main road,2400,4.0,3.0,250.0
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6 Bedroom,Raja Rajeshwari Nagar,3900,6.0,0.0,195.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,7th Phase JP Nagar,1000,2.0,1.0,70.65
Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,Nagavarapalya,907,2.0,2.0,38.0
Plot  Area,Ready To Move,Ulsoor,4 Bedroom,Ulsoor,3500,4.0,0.0,138.0
Super built-up  Area,Ready To Move,Varthur,3 BHK,Varthur,1395,2.0,3.0,79.0
Super built-up  Area,Ready To Move,Kumbena Agrahara,2 BHK,Kumbena Agrahara,1180,2.0,2.0,50.0
Plot  Area,Ready To Move,Banaswadi,5 Bedroom,Banaswadi,1903,6.0,2.0,140.0
Super built-up  Area,18-Mar,Electronic City,2 BHK,Electronic City,1175,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,Coconut Grove Layout,1272,2.0,2.0,51.5
Super built-up  Area,Ready To Move,Hiremath Layout,3 BHK,Hiremath Layout,1490,2.0,1.0,92.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Yeshwanthpur,1144,2.0,2.0,67.0
Plot  Area,17-Aug,Anekal - Hosur Road,4 Bedroom,Anekal - Hosur Road,2400,5.0,0.0,140.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Hormavu,1143,2.0,1.0,53.0
Plot  Area,Ready To Move,Karuna Nagar,3 Bedroom,Karuna Nagar,2500,3.0,2.0,190.0
Super built-up  Area,18-Dec,Whitefield,2 BHK,Whitefield,1216,2.0,1.0,75.0
Super built-up  Area,17-Jun,Nallurhalli,2 BHK,Nallurhalli,1044,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prithvi Layout,1352,3.0,1.0,93.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Hennur Road,1552,3.0,3.0,75.0
Built-up  Area,Ready To Move,Bellandur,3 BHK,Bellandur,1785,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Pai Layout,810,2.0,2.0,34.5
Super built-up  Area,18-May,Banashankari Stage V,3 BHK,Banashankari Stage V,1650,3.0,2.0,51.98
Super built-up  Area,Ready To Move,Akshayanagara East,3 BHK,Akshayanagara East,1595,3.0,2.0,70.39
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1060,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,Babusapalaya,1410,2.0,3.0,65.0
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Nagarbhavi,1523,2.0,2.0,56.0
Super built-up  Area,19-Jan,Kanakpura Road,3 BHK,Kanakpura Road,1591,3.0,1.0,122.0
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,Ashwath Nagar,1640,3.0,3.0,84.0
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,Yelahanka New Town,450,1.0,0.0,16.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Bannerghatta Road,1305,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Yelahanka,1590,3.0,1.0,54.0
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Kaggadasapura,1240,2.0,3.0,45.0
Super built-up  Area,Ready To Move,MCECHS  layout,2 BHK,MCECHS  layout,1200,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Dodda Nekkundi,1100,2.0,1.0,41.16
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Koramangala,1180,2.0,1.0,128.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Sarjapur  Road,1115,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Bisuvanahalli,845,2.0,1.0,33.0
Super built-up  Area,Ready To Move,4th Block Jayanagar,3 BHK,4th Block Jayanagar,1567.2,2.0,0.0,190.0
Super built-up  Area,Ready To Move,Channasandra,3 BHK,Channasandra,1310,2.0,2.0,45.0
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,Yelahanka,26136,1.0,0.0,150.0
Built-up  Area,Ready To Move,Jyothi Nagar,2 BHK,Jyothi Nagar,959,2.0,1.0,42.5
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,8th Phase JP Nagar,1200,4.0,1.0,140.0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Kambipura,883,2.0,1.0,37.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Rachenahalli,1050,2.0,2.0,55.5
Super built-up  Area,21-Mar,Yelahanka,2 BHK,Yelahanka,1390,2.0,2.0,70.21
Built-up  Area,Ready To Move,Hulimavu,2 BHK,Hulimavu,132Sq. Yards,2.0,3.0,46.0
Super built-up  Area,Ready To Move,Kenchenahalli,3 BHK,Kenchenahalli,1280,2.0,2.0,69.0
Plot  Area,Ready To Move,Lingarajapuram,7 Bedroom,Lingarajapuram,1280,5.0,3.0,150.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Yelahanka,1614,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,Kasturi Nagar,1000,2.0,0.0,58.0
Super built-up  Area,18-Apr,Marathahalli,2 BHK,Marathahalli,1196,2.0,2.0,57.9
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Sarjapur  Road,1220,3.0,2.0,57.0
Super built-up  Area,19-Apr,Ambalipura,2 BHK,Ambalipura,950,2.0,1.0,31.95
Super built-up  Area,Ready To Move,Doddabommasandra,9 BHK,Doddabommasandra,2400,8.0,0.0,325.0
Super built-up  Area,Ready To Move,Akshaya Vana,2 BHK,Akshaya Vana,1141,2.0,1.0,55.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,5th Phase JP Nagar,1200,2.0,2.0,51.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Kasavanhalli,1380,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Doddathoguru,855,2.0,1.0,32.0
Super built-up  Area,18-Sep,Chandapura,1 BHK,Chandapura,645,1.0,1.0,16.45
Super built-up  Area,Ready To Move,Chandapura,2 BHK,Chandapura,922,2.0,1.0,36.0
Built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,Nagappa Reddy Layout,1200,2.0,2.0,43.2
Super built-up  Area,Ready To Move,Nagadevanahalli,3 BHK,Nagadevanahalli,1240,2.0,2.0,65.0
Super built-up  Area,18-Aug,7th Phase JP Nagar,2 BHK,7th Phase JP Nagar,1070,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,Rajiv Gandhi Nagar,1293,2.0,2.0,75.0
Built-up  Area,Ready To Move,R.T. Nagar,3 BHK,R.T. Nagar,1380,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,Yelahanka New Town,1599,3.0,2.0,80.0
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,Nehru Nagar,967,2.0,2.0,41.1
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,Silver Springs Layout,1885,3.0,3.0,90.0
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,1st Block Koramangala,860,2.0,2.0,65.5
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,Yelahanka,1075,1.0,0.0,19.5
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Sarjapur  Road,1050,2.0,1.0,63.5
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Marathahalli,1595,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Sarjapur  Road,1350,2.0,2.0,102.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,Hebbal,1204,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Sarjapur  Road,2990,4.0,0.0,240.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Sarjapur  Road,1035,2.0,2.0,49.0
Super built-up  Area,18-Dec,ITPL,2 BHK,ITPL,1000,2.0,1.0,29.95
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Sarjapur  Road,1457,3.0,3.0,85.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Haralur Road,1194,2.0,2.0,47.0
Super built-up  Area,21-Dec,Bannerghatta,2 BHK,Bannerghatta,1100,2.0,1.0,66.0
Super built-up  Area,18-Mar,Whitefield,3 BHK,Whitefield,1655,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Kanakpura Road,1691.2,3.0,1.0,115.0
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,Ramagondanahalli,1215,2.0,1.0,46.1
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Kanakpura Road,1010 - 1300,2.0,0.0,50.125
Super built-up  Area,22-Jun,Hoodi,3 BHK,Hoodi,1639,3.0,2.0,129.0
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,Sarjapur  Road,1685,3.0,1.0,135.0
Built-up  Area,Ready To Move,Kaveri Nagar,5 Bedroom,Kaveri Nagar,1008,4.0,2.0,180.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Hormavu,1100,2.0,3.0,38.0
Super built-up  Area,19-Sep,Marathahalli,3 BHK,Marathahalli,2122,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,Vasanthapura,1050,2.0,2.0,47.0
Built-up  Area,Ready To Move,Kengeri,2 BHK,Kengeri,1230,2.0,2.0,45.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,5th Phase JP Nagar,1240,3.0,2.0,60.0
Built-up  Area,16-Oct,Electronic City Phase II,3 BHK,Electronic City Phase II,1252,2.0,3.0,65.0
Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,Canara Bank Colony,1374,2.0,2.0,88.0
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,8th Phase JP Nagar,500,1.0,1.0,30.0
Plot  Area,Ready To Move,Arekere,8 Bedroom,Arekere,1200,8.0,2.0,225.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,Hebbal,1355,3.0,2.0,83.87
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Banashankari,1040,2.0,3.0,45.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Sarjapur  Road,1350,2.0,2.0,68.0
Super built-up  Area,18-Apr,Whitefield,4 BHK,Whitefield,4003,6.0,3.0,300.0
Super built-up  Area,Ready To Move,Hennur,3 BHK,Hennur,2400,3.0,0.0,135.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Haralur Road,1560,3.0,1.0,90.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,Anandapura,1151,2.0,1.0,43.16
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Uttarahalli,1360,2.0,2.0,47.59
Super built-up  Area,Ready To Move,Crimson Layout,2 BHK,Crimson Layout,1250,2.0,2.0,60.0
Super built-up  Area,19-Dec,Chandapura,3 BHK,Chandapura,1110,2.0,2.0,29.97
Built-up  Area,Ready To Move,Hennur Road,2 BHK,Hennur Road,1015,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Kadugodi,1351,2.0,2.0,78.0
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,Yelahanka New Town,960,2.0,2.0,50.0
Super built-up  Area,18-May,Virat Nagar,2 BHK,Virat Nagar,1110,2.0,2.0,52.0
Built-up  Area,Ready To Move,R.T. Nagar,3 BHK,R.T. Nagar,1680,3.0,2.0,72.0
Plot  Area,Ready To Move,Arekere,3 Bedroom,Arekere,2400,3.0,1.0,180.0
Plot  Area,18-Apr,Yemlur,4 Bedroom,Yemlur,11000,5.0,3.0,2000.0
Built-up  Area,18-Mar,Ramamurthy Nagar Extension,3 BHK,Ramamurthy Nagar Extension,1350,3.0,2.0,48.6
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Horamavu Banaswadi,1254,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Haralur Road,1255,3.0,2.0,115.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,CV Raman Nagar,1051,2.0,3.0,61.0
Plot  Area,Ready To Move,"2nd phase jp nagar, jp nagar",3 Bedroom,"2nd phase jp nagar, jp nagar",1200,3.0,1.0,205.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1099,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Hebbal,2650,4.0,3.0,199.0
Built-up  Area,18-May,Mathikere Extension,4 Bedroom,Mathikere Extension,2000,2.0,1.0,160.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Yeshwanthpur,1541,2.0,2.0,130.0
Plot  Area,18-May,Sarjapur  Road,3 Bedroom,Sarjapur  Road,1200,3.0,2.0,70.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1125,2.0,2.0,45.0
